key,value
dialog_debug_images_saved_title,OCR Images Saved
dialog_debug_images_saved_message,Images saved to '{0}'.
dialog_debug_image_saved_title,OCR Image Saved
dialog_debug_image_saved_message,Original image saved to '{0}'. No processed image.
close_btn,Zamknij
gemini_total_words_label,Total Words
gemini_total_cost_label,Total Cost
gemini_enable_api_log_checkbox,Enable API Log
gemini_reset_log_button,Reset
gemini_refresh_stats_button,Refresh
deepl_usage_label,Free Monthly Usage
deepl_usage_loading,Loading...
api_usage_tab_title,API Usage
api_usage_section_gemini_ocr,📊 Gemini OCR Statistics
api_usage_section_gemini_translation,🔄 Gemini Translation Statistics
api_usage_section_gemini_combined,💰 Combined Gemini Statistics
api_usage_section_deepl,📈 DeepL Usage Tracker
api_usage_total_ocr_calls,Total OCR Calls:
api_usage_median_duration_ocr,Median Duration:
api_usage_avg_cost_per_call,Average Cost per Call:
api_usage_avg_cost_per_minute,Average Cost per Minute:
api_usage_avg_cost_per_hour,Average Cost per Hour:
api_usage_total_ocr_cost,Total OCR Cost:
api_usage_total_translation_calls,Total Translation Calls:
api_usage_total_words_translated,Total Words Translated:
api_usage_median_duration_translation,Median Duration:
api_usage_words_per_minute,Average Words per Minute:
api_usage_avg_cost_per_word,Average Cost per Word:
api_usage_total_translation_cost,Total Translation Cost:
api_usage_combined_cost_per_minute,Combined Cost per Minute:
api_usage_combined_cost_per_hour,Combined Cost per Hour:
api_usage_total_api_cost,Total API Cost:
api_usage_refresh_btn,Refresh
api_usage_export_csv_btn,Save as CSV
api_usage_export_text_btn,Save as TXT
api_usage_copy_btn,Kopiuj
api_usage_no_data,No data available
api_usage_info_note,ℹ️ Note: These statistics are based on short log files (Short_Log). Statistics will be reset if these files are deleted or cleared. Estimated cost tracking is provided for reference purposes only. You are solely responsible for monitoring the usage and costs of individual providers' APIs.
check_for_updates_on_startup,Check for updates on startup
check_updates_title,Checking for Updates
check_updates_msg,Checking for updates...
update_available_title,Update Available
update_available_msg_start,New version {0} is available!
update_available_current_version,Current version: {0}
update_available_new_version,New version: {0}
update_available_file_size,File size: {0}
update_available_release_notes,Release notes:
update_available_question,Would you like to download and install the update?
no_updates_title,No Updates
no_updates_msg,You have the latest version!
update_error_title,Update Error
update_error_msg,Unable to check for updates:
download_update_title,Downloading Update
download_update_msg,Downloading update...
download_progress_format,{0} MB of {1} MB ({2}%)
download_error_title,Download Error
download_error_msg,Failed to download update. Please try again later.
download_error_detail,Error downloading update:
apply_update_title,Apply Update
apply_update_msg,Update downloaded successfully!
apply_update_detail,The application will close and automatically restart with the new version.
apply_update_continue,"Click OK to continue."
applying_update_title,Applying Update
applying_update_msg,Update is being applied...
applying_update_restart,The application will restart automatically.
update_apply_error_title,Update Error
update_apply_error_msg,Failed to apply update.
update_apply_error_detail,Please try again or restart the application to apply the update.
update_apply_error_exception,An error occurred while applying the update:
update_apply_error_restart,Restart the application to apply the update.
stats_copied_title,Copied
stats_copied_msg,Statistics copied to clipboard.
stats_copy_error,Error copying to clipboard.
deepl_usage_unavailable,Unable to retrieve usage data
deepl_usage_error,Error retrieving usage data
export_success_title,Export Successful
export_success_msg,Statistics exported to:
export_failed_title,Export Failed
export_csv_failed_msg,Failed to export statistics to CSV.
export_text_failed_msg,Failed to export statistics to text.
export_error_title,Export Error
export_error_msg,Error exporting statistics:
gemini_reset_success_title,Success
gemini_reset_success_msg,Gemini API log has been reset.
gemini_reset_warning_title,Warning
gemini_reset_warning_msg,Gemini API log file does not exist.
gemini_reset_error_title,Error
gemini_reset_error_msg,Could not access Gemini log file.
gemini_reset_error_failed,Failed to reset Gemini API log:
stats_clipboard_header,Game-Changing Translator - API Usage Statistics
stats_section_ocr_header,📊 Gemini OCR Statistics
stats_section_translation_header,🔄 Gemini Translation Statistics
stats_section_combined_header,💰 Combined API Statistics
stats_section_deepl_header,📈 DeepL Usage Monitor
stats_deepl_free_limit,Free Monthly Limit:
stats_not_available,N/A
stats_cost_per_min_suffix,/min
stats_cost_per_hr_suffix,/hr
stats_duration_suffix,s
currency_usd, USD
mb_progress_of, MB of
mb_progress_format, MB ({0}%)
export_csv_dialog_title,Export Statistics to CSV
export_text_dialog_title,Export Statistics to Text
file_type_csv,CSV files
file_type_text,Text files
file_type_all,All files
csv_header_provider,Provider
csv_header_type,Type
csv_header_metric,Metric
csv_header_value,Value
csv_metric_free_monthly_limit,Free Monthly Limit
stats_text_total_ocr_calls,Total OCR Calls
stats_text_median_duration,Median Duration
stats_text_avg_cost_per_call,Average Cost per Call
stats_text_avg_cost_per_minute,Average Cost per Minute
stats_text_avg_cost_per_hour,Average Cost per Hour
stats_text_total_ocr_cost,Total OCR Cost
stats_text_total_trans_calls,Total Translation Calls
stats_text_total_words,Total Words Translated
stats_text_words_per_minute,Average Words per Minute
stats_text_avg_cost_per_word,Average Cost per Word
stats_text_total_trans_cost,Total Translation Cost
stats_text_total_api_cost,Total API Cost
stats_text_combined_cost_per_minute,Combined Cost per Minute
stats_text_combined_cost_per_hour,Combined Cost per Hour
stats_text_ocr_header_gemini,📊 Gemini OCR Statistics
stats_text_trans_header_gemini,🔄 Gemini Translation Statistics
stats_text_combined_header_gemini,💰 Combined Gemini Statistics
stats_text_deepl_header,📈 DeepL Usage Monitor
stats_report_generated,Report generated:
custom_prompt_tab_title,Custom Prompt
custom_prompt_translation_title,Translation Prompt
custom_prompt_ocr_title,OCR Prompt
custom_prompt_info,This text will be added at the beginning of the translation instruction for Gemini and DeepL translations. It will be used for EVERY API call. Make it as short as possible to save costs. Use English for best results.
custom_prompt_ocr_info,"This text will be added as a custom OCR instruction for Gemini. It will be used for EVERY API call. Make it as short as possible to save costs. Use English for best results."
custom_prompt_saved,Custom prompt saved successfully!
custom_prompt_save_error,Failed to save custom prompt.
save_btn,Save
reload_btn,Reload
custom_prompt_enabled_label,Enabled
stats_total_calls,Total Calls
stats_cost,Cost
stats_words,Words
stats_usage,Usage
about_other_tool_header,Check my other tool:
about_other_tool_desc,OHLC Forge – Historical daily data reconstruction for Binance and Bybit perpetuals with custom session close times.
gemini_api_key_placeholder,Mandatory field
deepl_api_key_placeholder,Optional field
shortcuts_tab_title,Shortcuts
status_cache_cleared,File caches cleared.
status_trans_cache_cleared,Translation cache cleared.
status_debug_log_cleared,Debug log cleared.
status_settings_saved_auto,Settings saved automatically.
status_settings_saved,Settings saved.
stats_no_data,No data
about_app_description,"Game-Changing Translator is a desktop application that automatically captures text from any area of your screen, performs optical character recognition (OCR), and translates the text in real-time. You can use it for translating video game subtitles or any other text that you can't easily copy."
config_mode_simple,Simple
config_mode_advanced,Custom
ui_visibility_show,Show
ui_visibility_hide,Hide
gemini_api_key_label,Gemini API Key:
deepl_api_key_label,DeepL API Key:
status_mode_prefix,Mode
shortcut_screenshot,Take Screenshot
screenshot_saved_toast,📸 Screenshot saved:
tooltip_help_info,View in user manual
tooltip_help_idea,Read in-depth guide
tooltip_open_user_manual,Open user manual
error_no_gemini_key,Provide your Gemini API key first.
error_no_deepl_key,Provide your DeepL API key first.
status_licence,Licence:
expand_top_area,Show languages and API keys
collapse_top_area,Hide languages and API keys
pro_licence_active,PRO licence active.
pro_activations_used,{0} of {1} activations used.
pro_machine_mismatch_title,Licence Error
pro_machine_mismatch_msg,The saved PRO licence is for a different computer. Please activate again.
about_pro_msg_1,"To use PRO features, download the"
about_pro_msg_2,"compiled version"
about_pro_msg_3,"and buy a PRO licence on"
about_pro_msg_4,Gumroad
